date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:30	124/124	U-----	200	untouched ('OK')	text/plain	date:Thu,%2018%20Aug%202022%2017:46:47%20GMT	https://v1kas.000webhostapp.com/robots.txt		(from )
09:56:31	57890/57890	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2019%20Aug%202022%2004:26:29%20GMT	https://v1kas.000webhostapp.com/	C:/My%20Web/vikash/v1kas.000webhostapp.com/index.html	(from )
09:56:32	860/860	U--M--	200	updated ('OK')	application/rss+xml	etag:%229af1f5eab21b088d4ba54030788c31e6%22	https://v1kas.000webhostapp.com/feed	C:/My%20Web/vikash/v1kas.000webhostapp.com/feed	(from https://v1kas.000webhostapp.com/)
09:56:32	88932/88932	U-----	200	untouched ('OK')	text/css	date:Thu,%2018%20Aug%202022%2009:28:34%20GMT	https://v1kas.000webhostapp.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.1	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-includes/css/dist/block-library/style.min37ad.css	(from https://v1kas.000webhostapp.com/)
09:56:32	2046/2046	---M--	200	added ('OK')	image/png	etag:%2262ea38a9-7fe%22	https://cdn.000webhost.com/000webhost/logo/footer-powered-by-000webhost-white2.png	C:/My%20Web/vikash/cdn.000webhost.com/000webhost/logo/footer-powered-by-000webhost-white2.png	(from https://v1kas.000webhostapp.com/)
09:56:37	48519/48519	U-----	200	untouched ('OK')	text/css	date:Thu,%2018%20Aug%202022%2009:44:25%20GMT	https://v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/fontfaces.css?ver=1.0.7.1	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-content/themes/bravada/resources/fonts/fontfaces501b.css	(from https://v1kas.000webhostapp.com/)
09:56:38	209434/209434	U-----	200	untouched ('OK')	text/css	date:Thu,%2018%20Aug%202022%2009:44:25%20GMT	https://v1kas.000webhostapp.com/wp-content/themes/bravada/style.css?ver=1.0.7.1	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-content/themes/bravada/style501b.css	(from https://v1kas.000webhostapp.com/)
09:56:38	754/754	U--M--	200	updated ('OK')	application/rss+xml	etag:%229af1f5eab21b088d4ba54030788c31e6%22	https://v1kas.000webhostapp.com/comments/feed	C:/My%20Web/vikash/v1kas.000webhostapp.com/comments/feed	(from https://v1kas.000webhostapp.com/)
09:56:39	163237/163237	U--MCZ	200	updated ('OK')	application/json	date:Fri,%2019%20Aug%202022%2004:26:35%20GMT	https://v1kas.000webhostapp.com/wp-json/	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-json/index.html	(from https://v1kas.000webhostapp.com/)
09:56:44	89521/89521	U-----	200	untouched ('')	application/javascript	date:Thu,%2018%20Aug%202022%2009:28:34%20GMT	https://v1kas.000webhostapp.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web/vikash/v1kas.000webhostapp.com/wp-includes/js/jquery/jquery.minaf6c.js	(from https://v1kas.000webhostapp.com/)
